ten,gia,cong_nghe_man_hinh,cpu,ram,bo_nho_trong,sim,pin,kich_thuoc_man_hinh,id
Samsung Galaxy Z Fold3 5G 256GB,35990000,Dynamic AMOLED 2X,Snapdragon 888 8 nhân,12.0,256.0,2 Nano SIM + 1 eSIM,4400 mAh,13.8,0
Samsung Galaxy S22 Ultra 5G 128GB,30990000,Dynamic AMOLED 2X,Snapdragon 8 Gen 1 8 nhân,8.0,128.0,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,5000 mAh,6.8,1
iPhone 12 Pro 256GB,26290000,OLED,Apple A14 Bionic 6 nhân,6.0,256.0,1 Nano SIM & 1 eSIM,2815 mAh,6.1,2
Samsung Galaxy S22+ 5G 128GB,25990000,Dynamic AMOLED 2X,Snapdragon 8 Gen 1 8 nhân,8.0,128.0,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,4500 mAh,6.6,3
Samsung Galaxy S22 5G 128GB,21990000,Dynamic AMOLED 2X,Snapdragon 8 Gen 1 8 nhân,8.0,128.0,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,3700 mAh,6.1,4
Samsung Galaxy Z Flip3 5G 128GB,21990000,Dynamic AMOLED 2X,Snapdragon 888 8 nhân,8.0,128.0,1 Nano SIM & 1 eSIM,3300 mAh,8.6,5
Xiaomi 12,19990000,AMOLED,Snapdragon 8 Gen 1 8 nhân,8.0,256.0,2 Nano SIM,4500 mAh,6.28,6
iPhone 12 64GB,19990000,OLED,Apple A14 Bionic 6 nhân,4.0,64.0,1 Nano SIM & 1 eSIM,2815 mAh,6.1,7
iPhone 12 mini 64GB,18990000,OLED,Apple A14 Bionic 6 nhân,4.0,64.0,1 Nano SIM & 1 eSIM,2227 mAh,5.4,8
Samsung Galaxy S21 FE 5G (6GB/128GB),15990000,Dynamic AMOLED 2X,Exynos 2100 8 nhân,6.0,128.0,2 Nano SIM,4500 mAh,6.4,9
iPhone SE 64GB (2020) (Hộp mới),9490000,IPS LCD,Apple A13 Bionic 6 nhân,3.0,64.0,1 Nano SIM & 1 eSIM,1821 mAh,4.7,10
OPPO Reno6 5G,10990000,AMOLED,MediaTek Dimensity 900 5G,8.0,128.0,2 Nano SIM,4300 mAh,6.43,11
OPPO Reno7 Z 5G,10490000,AMOLED,Snapdragon 695 5G 8 nhân,8.0,128.0,2 Nano SIM (SIM 2 chung khe thẻ nhớ),4500 mAh,6.43,12
Xiaomi 11T 5G 128GB,8990000,AMOLED,MediaTek Dimensity 1200 8 nhân,8.0,128.0,2 Nano SIM,5000 mAh,6.67,13
Vivo V23e,8490000,AMOLED,MediaTek Helio G96 8 nhân,8.0,128.0,2 Nano SIM (SIM 2 chung khe thẻ nhớ),4050 mAh,6.44,14
Realme 9 Pro 5G,7990000,IPS LCD,Snapdragon 695 5G 8 nhân,8.0,128.0,2 Nano SIM (SIM 2 chung khe thẻ nhớ),5000 mAh,6.6,15
Xiaomi Redmi Note 11 Pro,7190000,AMOLED,MediaTek Helio G96 8 nhân,8.0,128.0,2 Nano SIM (SIM 2 chung khe thẻ nhớ),5000 mAh,6.67,16
Realme 8,7290000,Super AMOLED,MediaTek Helio G95 8 nhân,8.0,128.0,2 Nano SIM,5000 mAh,6.4,17
Xiaomi Redmi Note 11S 5G,6490000,IPS LCD,MediaTek Dimensity 810 5G 8 nhân,6.0,128.0,2 Nano SIM (SIM 2 chung khe thẻ nhớ),5000 mAh,6.6,18
Xiaomi Redmi Note 10S 6GB,5990000,AMOLED,MediaTek Helio G95 8 nhân,6.0,128.0,2 Nano SIM,5000 mAh,6.43,19
